#,Thermostat,identifier,411943428163
#,Thermostat,name,LoveLiftsUsUp
#,Start,date,2018-01-01
#,End,date,2018-02-01

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),laundry (F),laundry2,Office (F),Office2
2018-01-01,00:00:00,heat,heatStage1On,hold,Sleep,65,65,64.9,24,,,300,0,,68.5,24,60.9,0,65.4,0,
2018-01-01,00:05:00,heat,heatStage1On,hold,Sleep,65,65,64.9,24,,,300,0,,68.6,24,60.9,0,65.4,0,
2018-01-01,00:10:00,heat,heatStage1On,hold,Sleep,65,65,64.9,24,,,300,0,,68.4,24,60.9,0,65.4,0,
2018-01-01,00:15:00,heat,heatStage1On,hold,Sleep,65,65,64.9,24,,,300,0,,68.4,24,60.9,0,65.4,0,
2018-01-01,00:20:00,heat,heatStage1On,hold,Sleep,65,65,64.9,24,,,105,0,,68.4,24,60.9,0,65.5,0,
2018-01-01,00:25:00,heat,heatOff,hold,Sleep,65,65,64.9,24,,,0,0,,68.5,24,60.9,0,65.4,0,
2018-01-01,00:30:00,heat,heatOff,hold,Sleep,65,65,64.8,23,,,0,0,,68.3,23,60.9,0,65.4,0,
2018-01-01,00:35:00,heat,heatOff,hold,Sleep,65,65,64.6,23,,,0,0,,67.9,23,60.9,0,65.2,0,
2018-01-01,00:40:00,heat,heatOff,hold,Sleep,65,65,64.4,23,,,285,0,,67.6,23,60.9,0,64.8,0,
2018-01-01,00:45:00,heat,heatStage1On,hold,Sleep,65,65,64.3,22,,,300,0,,67.6,22,60.8,0,64.7,0,
2018-01-01,00:50:00,heat,heatStage1On,hold,Sleep,65,65,64.4,23,,,300,0,,67.7,23,60.8,1,64.7,1,
2018-01-01,00:55:00,heat,heatStage1On,hold,Sleep,65,65,64.4,24,,,300,0,,67.9,24,60.8,1,64.7,1,
2018-01-01,01:00:00,heat,heatStage1On,hold,Sleep,65,65,64.4,24,,,300,0,,67.9,24,60.8,1,64.8,1,
2018-01-01,01:05:00,heat,heatStage1On,hold,Sleep,76.2,58.2,64.5,24,,,75,0,,67.9,24,60.8,0,64.9,1,
2018-01-01,01:10:00,heat,heatOff,,Sleep,80,56,64.5,23,,,0,0,,68,23,60.8,0,65,1,
2018-01-01,01:15:00,heat,heatOff,,Sleep,80,56,64.5,23,,,0,0,,68,23,60.8,0,64.9,0,
2018-01-01,01:20:00,heat,heatOff,,Sleep,80,56,64.4,23,,,0,0,,67.8,23,60.8,0,64.8,0,
2018-01-01,01:25:00,heat,heatOff,,Sleep,80,56,64.2,23,,,0,0,,67.3,23,60.8,0,64.5,0,
2018-01-01,01:30:00,heat,heatOff,,Sleep,80,56,64,24,,,0,0,,67.1,24,60.7,0,64.4,0,
2018-01-01,01:35:00,heat,heatOff,,Sleep,80,56,63.9,24,,,0,0,,67.2,24,60.6,0,64.1,0,
2018-01-01,01:40:00,heat,heatOff,,Sleep,80,56,63.8,24,,,0,0,,67.2,24,60.5,0,63.8,0,
2018-01-01,01:45:00,heat,heatOff,,Sleep,80,56,63.6,23,,,0,0,,67,23,60.4,0,63.6,0,
2018-01-01,01:50:00,heat,heatOff,,Sleep,80,56,63.5,23,,,0,0,,66.6,23,60.4,0,63.5,0,
2018-01-01,01:55:00,heat,heatOff,,Sleep,80,56,63.3,23,,,0,0,,66.5,23,60.3,0,63.3,0,
2018-01-01,02:00:00,heat,heatOff,,Sleep,80,56,63.3,24,,,0,0,,66.5,24,60.2,0,63.1,0,
2018-01-01,02:05:00,heat,heatOff,,Sleep,80,56,63.2,24,,,0,0,,66.6,24,60.1,0,63.1,0,
2018-01-01,02:10:00,heat,heatOff,,Sleep,80,56,63,23,,,0,0,,66.4,23,60,0,62.8,0,
2018-01-01,02:15:00,heat,heatOff,,Sleep,80,56,62.8,23,,,0,0,,66,23,60,0,62.7,0,
2018-01-01,02:20:00,heat,heatOff,,Sleep,80,56,62.8,23,,,0,0,,65.9,23,59.9,0,62.6,0,
2018-01-01,02:25:00,heat,heatOff,,Sleep,80,56,62.8,24,,,0,0,,66,24,59.9,0,62.6,0,
2018-01-01,02:30:00,heat,heatOff,,Sleep,80,56,62.7,24,,,0,0,,66.1,24,59.9,0,62.3,0,
2018-01-01,02:35:00,heat,heatOff,,Sleep,80,56,62.5,23,,,0,0,,65.9,23,59.8,0,62,0,
2018-01-01,02:40:00,heat,heatOff,,Sleep,80,56,62.3,23,,,0,0,,65.5,23,59.7,0,61.8,0,
2018-01-01,02:45:00,heat,heatOff,,Sleep,80,56,62.2,23,,,0,0,,65.3,23,59.7,0,61.8,0,
2018-01-01,02:50:00,heat,heatOff,,Sleep,80,56,62.2,24,,,0,0,,65.5,24,59.6,0,61.7,0,
2018-01-01,02:55:00,heat,heatOff,,Sleep,80,56,62.2,24,,,0,0,,65.6,24,59.5,0,61.5,0,
