#,Thermostat,identifier,411943428163
#,Thermostat,name,LoveLiftsUsUp
#,Start,date,2018-03-01
#,End,date,2018-04-01

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),laundry (F),laundry2,Office (F),Office2
2018-03-01,00:00:00,heat,heatOff,,Sleep,80,55,57.2,35,,,0,0,,59.3,35,55.6,0,55.6,0,
2018-03-01,00:05:00,heat,heatOff,,Sleep,80,55,57,36,,,0,0,,59.2,36,55.6,0,55.6,0,
2018-03-01,00:10:00,heat,heatOff,,Sleep,80,55,56.8,37,,,0,0,,59,37,55.6,0,55.6,0,
2018-03-01,00:15:00,heat,heatOff,,Sleep,80,55,56.8,36,,,0,0,,59,36,55.6,0,55.6,0,
2018-03-01,00:20:00,heat,heatOff,,Sleep,80,55,56.7,36,,,0,0,,59,36,55.6,0,55.6,0,
2018-03-01,00:25:00,heat,heatOff,,Sleep,80,55,56.7,36,,,0,0,,59.1,36,55.6,0,55.6,0,
2018-03-01,00:30:00,heat,heatOff,,Sleep,80,55,56.7,36,,,0,0,,59.1,36,55.4,0,55.6,0,
2018-03-01,00:35:00,heat,heatOff,,Sleep,80,55,57.1,36,,,0,0,,59.1,36,55.4,0,55.6,0,
2018-03-01,00:40:00,heat,heatOff,,Sleep,80,55,57.2,36,,,0,0,,59,36,55.4,0,,,
2018-03-01,00:45:00,heat,heatOff,,Sleep,80,55,57.1,36,,,0,0,,58.8,36,55.4,0,,,
2018-03-01,00:50:00,heat,heatOff,,Sleep,80,55,57.1,35,,,0,0,,58.9,35,55.4,0,,,
2018-03-01,00:55:00,heat,heatOff,,Sleep,80,55,57.1,35,,,0,0,,58.9,35,55.4,0,,,
2018-03-01,01:00:00,heat,heatOff,,Sleep,80,55,57.2,35,,,0,0,,59,35,55.4,0,,,
