#,Thermostat,identifier,411943428163
#,Thermostat,name,LoveLiftsUsUp
#,Start,date,2018-02-01
#,End,date,2018-03-01

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),laundry (F),laundry2,Office (F),Office2
2018-02-01,00:00:00,heat,heatOff,hold,Sleep,65,62,62,28,,,0,0,,64.5,28,59.7,0,61.9,1,
2018-02-01,00:05:00,heat,heatOff,hold,Sleep,65,62,61.9,28,,,0,0,,64.2,28,59.7,0,62,1,
2018-02-01,00:10:00,heat,heatOff,hold,Sleep,65,62,61.9,28,,,0,0,,64.3,28,59.7,0,61.9,0,
2018-02-01,00:15:00,heat,heatOff,hold,Sleep,65,62,61.9,27,,,0,0,,64.4,27,59.7,0,61.8,0,
2018-02-01,00:20:00,heat,heatOff,hold,Sleep,65,62,61.9,26,,,0,0,,64.4,26,59.5,0,61.7,0,
2018-02-01,00:25:00,heat,heatOff,hold,Sleep,65,62,61.8,27,,,0,0,,64.3,27,59.5,0,61.7,0,
2018-02-01,00:30:00,heat,heatOff,hold,Sleep,65,62,61.7,27,,,0,0,,64,27,59.6,0,61.5,0,
2018-02-01,00:35:00,heat,heatOff,hold,Sleep,65,62,61.7,28,,,0,0,,63.9,28,59.7,0,61.5,0,
2018-02-01,00:40:00,heat,heatOff,hold,Sleep,65,62,61.7,28,,,0,0,,64.1,28,59.7,0,61.5,0,
2018-02-01,00:45:00,heat,heatOff,hold,Sleep,65,62,61.7,28,,,0,0,,64.2,28,59.7,0,61.3,0,
2018-02-01,00:50:00,heat,heatOff,hold,Sleep,65,62,61.6,27,,,0,0,,64.1,27,59.7,0,61.1,0,
2018-02-01,00:55:00,heat,heatOff,hold,Sleep,65,62,61.4,27,,,255,0,,63.9,27,59.5,0,61.1,0,
2018-02-01,01:00:00,heat,heatStage1On,hold,Sleep,65,62,61.4,27,,,300,0,,63.7,27,59.5,0,61.2,0,
2018-02-01,01:05:00,heat,heatStage1On,hold,Sleep,65,62,61.6,28,,,300,0,,64,28,59.5,0,61.4,0,
2018-02-01,01:10:00,heat,heatStage1On,hold,Sleep,65,62,61.9,28,,,30,0,,64.4,28,59.6,0,61.7,0,
2018-02-01,01:15:00,heat,heatOff,hold,Sleep,65,62,62.1,28,,,0,0,,64.6,28,59.7,0,62,1,
2018-02-01,01:20:00,heat,heatOff,hold,Sleep,65,62,62.1,27,,,0,0,,64.6,27,59.7,0,62.2,1,
2018-02-01,01:25:00,heat,heatOff,hold,Sleep,65,62,62,27,,,0,0,,64.3,27,59.7,0,62,1,
2018-02-01,01:30:00,heat,heatOff,hold,Sleep,65,62,61.8,27,,,0,0,,64.1,27,59.7,0,61.8,0,
2018-02-01,01:35:00,heat,heatOff,hold,Sleep,65,62,61.9,28,,,0,0,,64.3,28,59.7,0,61.7,0,
2018-02-01,01:40:00,heat,heatOff,hold,Sleep,65,62,61.9,27,,,0,0,,64.4,27,59.7,0,61.5,0,
2018-02-01,01:45:00,heat,heatOff,hold,Sleep,65,62,61.8,27,,,0,0,,64.4,27,59.7,0,61.5,0,
