#,Thermostat,identifier,411943428163
#,Thermostat,name,LoveLiftsUsUp
#,Start,date,2018-08-01
#,End,date,2018-09-01

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),laundry (F),laundry2,Office (F),Office2
2018-08-01,01:00:00,heat,heatOff,hold,Sleep,65,58,70.3,38,65.3,0,0,0,,70.5,38,70.3,0,70.1,0,
2018-08-01,01:05:00,heat,heatOff,hold,Sleep,65,58,70.2,38,65.3,0,0,0,,70.4,38,70.3,0,70.1,0,
2018-08-01,01:10:00,heat,heatOff,hold,Sleep,65,58,70.1,38,65.3,0,0,0,,70.3,38,70.1,0,70,0,
2018-08-01,01:15:00,heat,heatOff,hold,Sleep,65,58,70,38,65.3,0,0,0,,70.2,38,70.1,0,69.8,0,
2018-08-01,01:20:00,heat,heatOff,hold,Sleep,65,58,70,38,65.3,0,0,0,,70.1,38,70.1,0,69.8,0,
2018-08-01,01:25:00,heat,heatOff,hold,Sleep,65,58,69.9,38,65.3,0,0,0,,70.2,38,70.1,0,69.6,0,
2018-08-01,01:30:00,heat,heatOff,hold,Sleep,65,58,69.9,38,64.4,0,0,0,,70.1,38,70,0,69.6,0,
2018-08-01,01:35:00,heat,heatOff,hold,Sleep,65,58,69.8,38,64.4,0,0,0,,70.1,38,70,0,69.4,0,
2018-08-01,01:40:00,heat,heatOff,hold,Sleep,65,58,69.8,38,64.4,0,0,0,,70,38,70,0,69.4,0,
2018-08-01,01:45:00,heat,heatOff,hold,Sleep,65,58,69.8,39,64.4,0,0,0,,70,39,70,0,69.4,0,
2018-08-01,01:50:00,heat,heatOff,hold,Sleep,65,58,69.7,38,64.4,0,0,0,,69.9,38,69.8,0,69.4,0,
2018-08-01,01:55:00,heat,heatOff,hold,Sleep,65,58,69.6,38,64.4,0,0,0,,69.8,38,69.8,0,69.2,0,
2018-08-01,02:00:00,heat,heatOff,hold,Sleep,65,58,69.6,38,62.7,0,0,0,,69.8,38,69.8,0,69.2,0,
2018-08-01,02:05:00,heat,heatOff,hold,Sleep,65,58,69.5,38,62.7,0,0,0,,69.8,38,69.8,0,69,0,
2018-08-01,02:10:00,heat,heatOff,hold,Sleep,65,58,69.5,39,62.7,0,0,0,,69.8,39,69.8,0,69,0,
2018-08-01,02:15:00,heat,heatOff,hold,Sleep,65,58,69.5,39,62.7,0,0,0,,69.8,39,69.8,0,69,0,
2018-08-01,02:20:00,heat,heatOff,hold,Sleep,65,58,69.4,39,62.7,0,0,0,,69.7,39,69.6,0,69,0,
2018-08-01,02:25:00,heat,heatOff,hold,Sleep,65,58,69.4,39,62.7,0,0,0,,69.7,39,69.6,0,68.9,0,
2018-08-01,02:30:00,heat,heatOff,hold,Sleep,65,58,69.3,39,62.1,0,0,0,,69.6,39,69.6,0,68.9,0,
2018-08-01,02:35:00,heat,heatOff,hold,Sleep,65,58,69.3,39,62.1,0,0,0,,69.6,39,69.4,0,68.9,0,
2018-08-01,02:40:00,heat,heatOff,hold,Sleep,65,58,69.2,39,62.1,0,0,0,,69.6,39,69.4,0,68.7,0,
2018-08-01,02:45:00,heat,heatOff,hold,Sleep,65,58,69.2,39,62.1,0,0,0,,69.5,39,69.4,0,68.7,0,
2018-08-01,02:50:00,heat,heatOff,hold,Sleep,65,58,69.1,39,62.1,0,0,0,,69.4,39,69.4,0,68.5,0,
2018-08-01,02:55:00,heat,heatOff,hold,Sleep,65,58,69,39,62.1,0,0,0,,69.4,39,69.3,0,68.5,0,
2018-08-01,03:00:00,heat,heatOff,hold,Sleep,65,58,69,39,63,0,0,0,,69.4,39,69.2,0,68.5,0,
2018-08-01,03:05:00,heat,heatOff,hold,Sleep,65,58,69,39,63,0,0,0,,69.4,39,69.2,0,68.5,0,
2018-08-01,03:10:00,heat,heatOff,hold,Sleep,65,58,69,39,63,0,0,0,,69.4,39,69.2,0,68.5,0,
2018-08-01,03:15:00,heat,heatOff,hold,Sleep,65,58,68.9,39,63,0,0,0,,69.3,39,69.1,0,68.3,0,
2018-08-01,03:20:00,heat,heatOff,hold,Sleep,65,58,68.9,39,63,0,0,0,,69.4,39,69,0,68.3,0,
2018-08-01,03:25:00,heat,heatOff,hold,Sleep,65,58,68.8,39,63,0,0,0,,69.3,39,69,0,68.3,0,
2018-08-01,03:30:00,heat,heatOff,hold,Sleep,65,58,68.8,39,62.4,0,0,0,,69.3,39,69,0,68.3,0,
2018-08-01,03:35:00,heat,heatOff,hold,Sleep,65,58,68.8,39,62.4,0,0,0,,69.2,39,69,0,68.3,0,
2018-08-01,03:40:00,heat,heatOff,hold,Sleep,65,58,68.7,39,62.4,0,0,0,,69.1,39,69,0,68.1,0,
