#,Thermostat,identifier,411943428163
#,Thermostat,name,LoveLiftsUsUp
#,Start,date,2018-11-01
#,End,date,2018-12-01

Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),laundry (F),laundry2,Office (F),Office2
2018-11-01,01:00:00,heat,heatOff,,Sleep,80,55,59.2,39,34.8,0,0,0,,59.2,39,,,,,
2018-11-01,01:05:00,heat,heatOff,,Sleep,80,55,59.1,39,34.8,0,0,0,,59.1,39,,,,,
2018-11-01,01:10:00,heat,heatOff,,Sleep,80,55,59,39,34.8,0,0,0,,59,39,,,,,
2018-11-01,01:15:00,heat,heatOff,,Sleep,80,55,58.8,39,34.8,0,0,0,,58.8,39,,,,,
2018-11-01,01:20:00,heat,heatOff,,Sleep,80,55,58.7,39,34.8,0,0,0,,58.7,39,,,,,
2018-11-01,01:25:00,heat,heatOff,,Sleep,80,55,58.7,39,34.8,0,0,0,,58.7,39,,,,,
2018-11-01,01:30:00,heat,heatOff,,Sleep,80,55,58.8,39,35.2,0,0,0,,58.8,39,,,,,
2018-11-01,01:35:00,heat,heatOff,,Sleep,80,55,58.9,39,35.2,0,0,0,,58.9,39,,,,,
2018-11-01,01:40:00,heat,heatOff,,Sleep,80,55,59,39,35.2,0,0,0,,59,39,,,,,
2018-11-01,01:45:00,heat,heatOff,,Sleep,80,55,59,39,35.2,0,0,0,,59,39,,,,,
2018-11-01,01:50:00,heat,heatOff,,Sleep,80,55,58.9,39,35.2,0,0,0,,58.9,39,,,,,
2018-11-01,01:55:00,heat,heatOff,,Sleep,80,55,58.6,39,35.2,0,0,0,,58.6,39,,,,,
2018-11-01,02:00:00,heat,heatOff,,Sleep,80,55,58.5,39,36.2,0,0,0,,58.5,39,,,,,
2018-11-01,02:05:00,heat,heatOff,,Sleep,80,55,58.5,39,36.2,0,0,0,,58.5,39,,,,,
2018-11-01,02:10:00,heat,heatOff,,Sleep,80,55,58.6,39,36.2,0,0,0,,58.6,39,,,,,
2018-11-01,02:15:00,heat,heatOff,,Sleep,80,55,58.7,39,36.2,0,0,0,,58.7,39,,,,,
2018-11-01,02:20:00,heat,heatOff,,Sleep,80,55,58.7,39,36.2,0,0,0,,58.7,39,,,,,
2018-11-01,02:25:00,heat,heatOff,,Sleep,80,55,58.8,39,36.2,0,0,0,,58.8,39,,,,,
2018-11-01,02:30:00,heat,heatOff,,Sleep,80,55,58.7,38,36.5,0,0,0,,58.7,38,,,,,
2018-11-01,02:35:00,heat,heatOff,,Sleep,80,55,58.5,39,36.5,0,0,0,,58.5,39,,,,,
2018-11-01,02:40:00,heat,heatOff,,Sleep,80,55,58.3,39,36.5,0,0,0,,58.3,39,,,,,
2018-11-01,02:45:00,heat,heatOff,,Sleep,80,55,58.3,39,36.5,0,0,0,,58.3,39,,,,,
2018-11-01,02:50:00,heat,heatOff,,Sleep,80,55,58.4,40,36.5,0,0,0,,58.4,40,,,,,
2018-11-01,02:55:00,heat,heatOff,,Sleep,80,55,58.5,39,36.5,0,0,0,,58.5,39,,,,,
2018-11-01,03:00:00,heat,heatOff,,Sleep,80,55,58.6,38,37.5,0,0,0,,58.6,38,,,,,
2018-11-01,03:05:00,heat,heatOff,,Sleep,80,55,58.6,38,37.5,0,0,0,,58.6,38,,,,,
2018-11-01,03:10:00,heat,heatOff,,Sleep,80,55,58.5,38,37.5,0,0,0,,58.5,38,,,,,
2018-11-01,03:15:00,heat,heatOff,,Sleep,80,55,58.3,38,37.5,0,0,0,,58.3,38,,,,,
2018-11-01,03:20:00,heat,heatOff,,Sleep,80,55,58.1,39,37.5,0,0,0,,58.1,39,,,,,
2018-11-01,03:25:00,heat,heatOff,,Sleep,80,55,58,39,37.5,0,0,0,,58,39,,,,,
2018-11-01,03:30:00,heat,heatOff,,Sleep,80,55,58.2,40,37.8,0,0,0,,58.2,40,,,,,
2018-11-01,03:35:00,heat,heatOff,,Sleep,80,55,58.3,38,37.8,0,0,0,,58.3,38,,,,,
2018-11-01,03:40:00,heat,heatOff,,Sleep,80,55,58.4,38,37.8,0,0,0,,58.4,38,,,,,
2018-11-01,03:45:00,heat,heatOff,,Sleep,80,55,58.5,38,37.8,0,0,0,,58.5,38,,,,,
2018-11-01,03:50:00,heat,heatOff,,Sleep,80,55,58.5,38,37.8,0,0,0,,58.5,38,,,,,
2018-11-01,03:55:00,heat,heatOff,,Sleep,80,55,58.3,38,37.8,0,0,0,,58.3,38,,,,,
2018-11-01,04:00:00,heat,heatOff,,Sleep,80,55,58.1,38,37.3,0,0,0,,58.1,38,,,,,
2018-11-01,04:05:00,heat,heatOff,,Sleep,80,55,57.9,38,37.3,0,0,0,,57.9,38,,,,,
2018-11-01,04:10:00,heat,heatOff,,Sleep,80,55,58,38,37.3,0,0,0,,58,38,,,,,
2018-11-01,04:15:00,heat,heatOff,,Sleep,80,55,58.1,38,37.3,0,0,0,,58.1,38,,,,,
2018-11-01,04:20:00,heat,heatOff,,Sleep,80,55,58.2,38,37.3,0,0,0,,58.2,38,,,,,
2018-11-01,04:25:00,heat,heatOff,,Sleep,80,55,58.3,38,37.3,0,0,0,,58.3,38,,,,,
2018-11-01,04:30:00,heat,heatOff,,Sleep,80,55,58.3,38,36.9,0,0,0,,58.3,38,,,,,
2018-11-01,04:35:00,heat,heatOff,,Sleep,80,55,58.3,38,36.9,0,0,0,,58.3,38,,,,,
2018-11-01,04:40:00,heat,heatOff,,Sleep,80,55,58,38,36.9,0,0,0,,58,38,,,,,
2018-11-01,04:45:00,heat,heatOff,,Sleep,80,55,57.8,38,36.9,0,0,0,,57.8,38,,,,,
2018-11-01,04:50:00,heat,heatOff,,Sleep,80,55,57.8,38,36.9,0,0,0,,57.8,38,,,,,
2018-11-01,04:55:00,heat,heatOff,,Sleep,80,55,57.8,38,36.9,0,0,0,,57.8,38,,,,,
2018-11-01,05:00:00,heat,heatOff,,Sleep,80,55,57.9,38,39.4,0,0,0,,57.9,38,,,,,
2018-11-01,05:05:00,heat,heatOff,,Sleep,80,55,58,38,39.4,0,0,0,,58,38,,,,,
2018-11-01,05:10:00,heat,heatOff,,Sleep,80,55,58.1,38,39.4,0,0,0,,58.1,38,,,,,
2018-11-01,05:15:00,heat,heatOff,,Sleep,80,55,58.1,38,39.4,0,0,0,,58.1,38,,,,,
2018-11-01,05:20:00,heat,heatOff,,Sleep,80,55,57.9,38,39.4,0,225,0,,57.9,38,,,,,
2018-11-01,05:25:00,heat,heatStage1On,(SmartRecovery),Sleep,80,55,57.5,38,39.4,0,300,0,,57.5,38,,,,,
2018-11-01,05:30:00,heat,heatStage1On,(SmartRecovery),Sleep,80,55,57.5,38,38.8,0,300,0,,57.5,38,,,,,
2018-11-01,05:35:00,heat,heatStage1On,(SmartRecovery),Sleep,80,55,57.7,38,38.8,0,300,0,,57.7,38,,,,,
2018-11-01,05:40:00,heat,heatStage1On,(SmartRecovery),Sleep,80,55,58.1,38,38.8,0,300,0,,58.1,38,,,,,
2018-11-01,05:45:00,heat,heatStage1On,(SmartRecovery),Sleep,80,55,58.4,38,38.8,0,300,0,,58.4,38,,,,,
2018-11-01,05:50:00,heat,heatStage1On,(SmartRecovery),Sleep,80,55,58.8,38,38.8,0,300,0,,58.8,38,,,,,
2018-11-01,05:55:00,heat,heatStage1On,(SmartRecovery),Sleep,80,55,59,38,38.8,0,300,0,,59,38,,,,,
2018-11-01,06:00:00,heat,heatStage1On,(SmartRecovery),Sleep,80,55,59.3,37,37.5,0,300,0,,59.3,37,,,,,
2018-11-01,06:05:00,heat,heatStage1On,(SmartRecovery),Sleep,80,55,59.4,37,37.5,0,300,0,,59.4,37,,,,,
2018-11-01,06:10:00,heat,heatStage1On,(SmartRecovery),Sleep,80,55,59.6,37,37.5,0,135,0,,59.6,37,,,,,
2018-11-01,06:15:00,heat,heatOff,,Sleep,80,55,59.8,37,37.5,0,0,0,,59.8,37,,,,,
2018-11-01,06:20:00,heat,heatOff,,Sleep,80,55,59.8,37,37.5,0,0,0,,59.8,37,,,,,
2018-11-01,06:25:00,heat,heatOff,,Sleep,79.8,55.5,59.8,37,37.5,0,0,0,,59.8,37,,,,,
2018-11-01,06:30:00,heat,heatOff,,Home,78,60,59.7,37,37.6,0,0,0,,59.7,37,,,,,
2018-11-01,06:35:00,heat,heatOff,,Home,78,60,59.6,38,37.6,0,0,0,,59.6,38,,,,,
2018-11-01,06:40:00,heat,heatOff,,Home,78,60,59.5,38,37.6,0,90,0,,59.5,38,,,,,
2018-11-01,06:45:00,heat,heatStage1On,,Home,78,60,59.4,38,37.6,0,300,0,,59.4,38,,,,,
2018-11-01,06:50:00,heat,heatStage1On,,Home,78,60,59.2,38,37.6,0,300,0,,59.2,38,,,,,
2018-11-01,06:55:00,heat,heatStage1On,,Home,78,60,59.2,38,37.6,0,300,0,,59.2,38,,,,,
2018-11-01,07:00:00,heat,heatStage1On,,Home,78,60,59.4,38,40.6,0,300,0,,59.4,38,,,,,
2018-11-01,07:05:00,heat,heatStage1On,,Home,78,60,59.9,38,40.6,0,105,0,,59.9,38,,,,,
2018-11-01,07:10:00,heat,heatOff,,Home,78,60,60.2,38,40.6,0,0,0,,60.2,38,,,,,
2018-11-01,07:15:00,heat,heatOff,,Home,78,60,60.3,37,40.6,0,0,0,,60.3,37,,,,,
2018-11-01,07:20:00,heat,heatOff,,Home,78,60,60.2,37,40.6,0,0,0,,60.2,37,,,,,
2018-11-01,07:25:00,heat,heatOff,,Home,78,60,60.1,37,40.6,0,0,0,,60.1,37,,,,,
2018-11-01,07:30:00,heat,heatOff,,Home,78,60,59.8,37,40.1,0,0,0,,59.8,37,,,,,
2018-11-01,07:35:00,heat,heatOff,,Home,78,60,59.3,38,40.1,0,270,0,,59.3,38,,,,,
2018-11-01,07:40:00,heat,heatStage1On,,Home,78,60,59.2,38,40.1,0,300,0,,59.2,38,,,,,
2018-11-01,07:45:00,heat,heatStage1On,,Home,78,60,59.4,38,40.1,0,300,0,,59.4,38,,,,,
2018-11-01,07:50:00,heat,heatStage1On,,Home,78,60,59.8,38,40.1,0,135,0,,59.8,38,,,,,
2018-11-01,07:55:00,heat,heatOff,,Home,78,60,60.2,38,40.1,0,0,0,,60.2,38,,,,,
